row,key,ok,messages
0,1316BBA24089,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
1,1318MSCITIN24024,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
2,1214IT09015,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
3,1114BCOM426,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
4,12H0445,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
5,0810MBA010,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
6,1416MBA02017,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
7,1318MSCITIN24013,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
8,1013BCOM452,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
9,1216NSG13052,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
10,10G0305,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
11,1112PGDCA044,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
12,1215BCA04336,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
13,1217MSCITIN24050,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
14,1216NSG13059,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
15,0811BCA095,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
16,0710BBA140,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
17,,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
18,1012MBA120,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
19,1315MPHARM01058,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
20,10O0278,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
21,11E0364,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
22,100000000000000009283347037202319909689034845245050771098451388126923428081969579920029641209088262542943126809822773697747226137851076470969547585887373208135923963504986275470907025292240033962037948280174037505158080469401600,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
23,1214MCOM16014,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
24,0710BCOM143,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
25,1416MBA02094,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
26,10G0288,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
27,11W0385,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
28,1217MSCITIN24025,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
29,1416MBA02063,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
30,1416MBA02008,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
31,12G0440,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
32,1316BCOM05148,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
33,0912BCA248,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
34,11E0375,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
35,1013BCOM473,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
36,1216BPHARM01006,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
37,1112BEDE006,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
38,10G0287,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
39,1517IT22057,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
40,10C0295,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
41,10G0245,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
