row,key,ok,messages
0,0809BEdG069,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
1,0809BEdE033,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
2,0809BEdE099,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
3,0809BEdE011,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
4,0809BEdE018,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
5,0811BBA295,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
6,0809BEdE075,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
7,0809BEdE003,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
8,0811BCOM172,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
9,0809BEdE015,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
10,0809BEdG013,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
11,0811BCOM380,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
12,0811BCOM524,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
13,0710BCOM069,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
14,0811BCOM141,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
15,0809BEdE034,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
16,0809BEdE032,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
17,0811BCA097,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
18,0811BCOM567,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
19,0809BEdE088,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
20,0811BCA018,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
21,0710BCOM033,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
22,0809BEdE077,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
23,0710BCOM184,False,"missing_mg_date;{'missing_required': ['exam_year', 'admission_year', 'pay_rec_no']}"
24,2009/25,False,missing_enrollment;missing_institute_sub_main
